Sample,PM(2.5),HCHO,TVOC,TEMP,HUM,CO2
565,21,0.019,0.127,25,62,1491
567,20,0.017,0.114,26,62,1491
569,20,0.017,0.114,25,62,1494
571,20,0.017,0.114,26,62,1496
573,20,0.019,0.127,26,62,1496
575,21,0.019,0.127,25,62,1499
579,21,0.019,0.127,25,63,1501
581,21,0.017,0.114,26,62,1499
583,21,0.017,0.114,26,63,1498
585,22,0.017,0.114,26,63,1498
587,22,0.017,0.114,26,63,1495
589,22,0.017,0.114,26,63,1495
591,22,0.017,0.114,26,63,1491
593,21,0.017,0.114,26,63,1488
595,20,0.017,0.114,26,63,1488
597,20,0.019,0.127,26,63,1486
599,20,0.017,0.114,26,63,1486
601,20,0.017,0.114,26,63,1482
603,20,0.019,0.127,26,63,1478
605,21,0.017,0.114,26,63,1472
607,20,0.017,0.114,25,63,1472
609,21,0.017,0.114,26,63,1465
611,20,0.015,0.101,25,63,1465
613,20,0.017,0.101,26,63,1460
615,20,0.017,0.114,26,63,1456
617,20,0.017,0.114,26,63,1456
619,20,0.017,0.114,26,64,1453
621,20,0.017,0.114,25,64,1453
623,21,0.019,0.127,25,63,1455
627,23,0.017,0.114,26,63,1455
629,22,0.019,0.127,25,63,1455
631,23,0.017,0.114,26,63,1455
633,22,0.019,0.127,26,63,1455
635,21,0.017,0.114,26,63,1455
637,22,0.019,0.127,26,63,1455
639,21,0.019,0.127,26,63,1456
641,20,0.019,0.127,26,64,1457
643,19,0.019,0.127,26,64,1457
645,19,0.019,0.127,26,64,1460
647,19,0.019,0.127,26,64,1462
649,20,0.019,0.127,26,64,1462
651,19,0.019,0.127,26,64,1462
653,20,0.019,0.127,26,64,1459
655,20,0.019,0.127,26,64,1459
657,20,0.02,0.139,26,64,1456
659,20,0.02,0.139,26,64,1456
661,20,0.02,0.139,26,64,1454
663,20,0.022,0.152,26,64,1449
665,20,0.028,0.19,26,64,1448
667,21,0.032,0.215,26,64,1448
669,20,0.039,0.266,26,64,1447
671,21,0.041,0.279,26,64,1447
673,21,0.053,0.355,26,64,1447
675,22,0.058,0.393,26,64,1445
677,23,0.064,0.431,25,64,1445
679,23,0.068,0.457,26,64,1445
681,23,0.068,0.457,26,64,1445
683,23,0.07,0.469,26,64,1448
685,23,0.068,0.457,26,64,1451
687,23,0.066,0.444,26,64,1455
689,22,0.064,0.431,26,64,1455
691,23,0.062,0.419,26,64,1456
693,22,0.06,0.406,26,64,1456
695,21,0.058,0.393,26,64,1456
697,22,0.058,0.393,26,64,1456
699,21,0.057,0.381,26,65,1455
701,22,0.055,0.368,26,65,1456
703,21,0.053,0.355,26,65,1456
705,22,0.051,0.342,26,65,1456
707,23,0.051,0.342,26,65,1457
709,22,0.049,0.33,26,65,1457
711,23,0.049,0.33,26,65,1457
713,23,0.047,0.317,26,65,1457
715,24,0.047,0.317,26,65,1457
717,25,0.047,0.317,26,65,1457
719,25,0.049,0.33,26,65,1457
721,26,0.051,0.342,26,65,1456
723,26,0.053,0.355,26,65,1454
725,27,0.055,0.368,26,66,1453
727,28,0.057,0.381,26,66,1453
729,29,0.057,0.381,26,66,1451
731,29,0.058,0.393,26,65,1451
733,30,0.058,0.393,26,66,1451
735,31,0.06,0.406,26,66,1451
737,31,0.06,0.406,26,66,1451
739,32,0.06,0.406,26,66,1451
741,33,0.058,0.393,26,66,1451
743,33,0.064,0.431,26,66,1452
745,34,0.066,0.444,26,66,1452
747,35,0.066,0.444,26,66,1452
749,36,0.068,0.457,26,66,1453
751,36,0.068,0.457,26,66,1454
753,37,0.068,0.457,26,66,1454
755,38,0.066,0.444,25,66,1456
757,37,0.066,0.444,25,66,1456
759,36,0.064,0.431,26,66,1457
761,36,0.064,0.431,26,66,1459
763,36,0.062,0.419,26,66,1459
765,35,0.062,0.419,26,66,1462
767,36,0.064,0.431,25,66,1463
769,35,0.062,0.419,26,66,1463
771,36,0.062,0.419,26,66,1465
773,35,0.062,0.419,26,66,1466
775,34,0.062,0.419,26,66,1466
777,33,0.062,0.419,26,66,1468
779,32,0.06,0.406,26,66,1468
781,31,0.06,0.406,26,66,1468
783,30,0.06,0.406,26,66,1468
785,29,0.058,0.393,26,66,1468
787,30,0.058,0.393,26,66,1468
789,31,0.058,0.393,26,66,1469
791,31,0.058,0.393,26,66,1469
793,32,0.06,0.406,26,66,1469
795,32,0.06,0.406,26,66,1469
797,32,0.06,0.406,26,66,1469
799,32,0.06,0.406,26,66,1469
801,33,0.06,0.406,26,66,1469
803,33,0.062,0.419,26,66,1469
